first_two_cards,royal_flush,straight_flush,four_of_a_kind,full_house,flush,straight,three_of_a_kind,two_pairs,one_pair,high_card
other: 3 K,0.00002312673450508788,0.00013120882025335572,0.0012592270950933565,0.022241310955464517,0.01956380146878363,0.08340444410881837,0.0445449225018407,0.2278644112594159,0.45004436557231586,0.15092318148350922
same suit: 4 5,0.0000018878966942928884,0.0025916101870905625,0.0012592270950933565,0.022241310955464517,0.06322707621438955,0.18744407106043157,0.04262917933130699,0.2176570258075478,0.36664464120523327,0.0963039702467481
same suit: 4 6,0.0000018878966942928884,0.0018878966942928884,0.0012592270950933565,0.022241310955464517,0.06393078970718723,0.14093951178991485,0.04289395684268157,0.21890445354830185,0.39090788952028543,0.11703307595008401
same suit: 4 7,0.0000018878966942928884,0.0013885480186524193,0.0012592270950933565,0.022241310955464517,0.0644301383828277,0.1264843587758878,0.04315873435405614,0.22015188128905586,0.40169155543808643,0.1191923577941815
same suit: 4 8,0.0000018878966942928884,0.0009831222035530216,0.0012592270950933565,0.022241310955464517,0.06483556419792709,0.12049642243576432,0.043423511865430725,0.2213993090298099,0.40573543015726177,0.119624214163001
same suit: 4 9,0.0000018878966942928884,0.0006527402820517661,0.0012592270950933565,0.022241310955464517,0.06516594611942834,0.12119588816099983,0.0436882893768053,0.2226467367705639,0.40438747191753666,0.118760501425362
same suit: 4 10,0.00002312673450508788,0.0007079612603598331,0.0012592270950933565,0.022241310955464517,0.06508948630330948,0.1291788593328173,0.0436882893768053,0.2226467367705639,0.39899563895863616,0.11616936321244502
same suit: 4 J,0.00002312673450508788,0.0006522683078781929,0.0012592270950933565,0.022241310955464517,0.06514517925579112,0.12470312824482244,0.0436882893768053,0.2226467367705639,0.40303951367781155,0.11660121958126451
same suit: 4 Q,0.00002312673450508788,0.0005394664803941928,0.0012592270950933565,0.022241310955464517,0.06525798108327513,0.11445609696237422,0.0436882893768053,0.2226467367705639,0.41112726311616227,0.118760501425362
same suit: 4 K,0.00002312673450508788,0.0003322698181955483,0.0012592270950933565,0.022241310955464517,0.06546517774547377,0.07981555249296758,0.0436882893768053,0.2226467367705639,0.4246068455134135,0.1399214634975174
pair: 4,0.0000018878966942928884,0.00022749155166229304,0.008423795049934868,0.08547641073080481,0.019488757575185485,0.041657384507919726,0.11726009552757273,0.3952462761237705,0.33221790103645527,0
other: 4 5,0.0000018878966942928884,0.0002454265702580755,0.0012592270950933565,0.022241310955464517,0.019470822556589704,0.20021238837810795,0.04346504559270517,0.22274821121788216,0.38615794143744453,0.10419773829976024
other: 4 6,0.0000018878966942928884,0.0002435386735637826,0.0012592270950933565,0.022241310955464517,0.019472710453283998,0.15068058675829257,0.04373501481998905,0.22402726122826558,0.41171251109139306,0.12662595102795976
other: 4 7,0.0000018878966942928884,0.0002435386735637826,0.0012592270950933565,0.022241310955464517,0.019472710453283998,0.13543770884857181,0.04400498404727293,0.22530631123864903,0.4230700976042591,0.1289622231871472
other: 4 8,0.0000018878966942928884,0.0002435386735637826,0.0012592270950933565,0.022241310955464517,0.019472710453283998,0.12916234023674225,0.044274953274556814,0.22658536124903245,0.42732919254658386,0.12942947761898468
other: 4 9,0.0000018878966942928884,0.00024495459608450226,0.0012592270950933565,0.022241310955464517,0.019471294530763277,0.12996752817685817,0.0445449225018407,0.2278644112594159,0.4259094942324756,0.12849496875530972
other: 4 10,0.00002312673450508788,0.0002265476033151466,0.0012592270950933565,0.022241310955464517,0.019468462685721836,0.13844984802431612,0.0445449225018407,0.2278644112594159,0.4202307009760426,0.12569144216428477
other: 4 J,0.00002312673450508788,0.0002057807396779248,0.0012592270950933565,0.022241310955464517,0.01948922954935906,0.13372349865015387,0.0445449225018407,0.2278644112594159,0.42448979591836733,0.12615869659612225
other: 4 Q,0.00002312673450508788,0.0001812380826521173,0.0012592270950933565,0.022241310955464517,0.019513772206384866,0.1228690366063169,0.0445449225018407,0.2278644112594159,0.43300798580301686,0.12849496875530972
other: 4 K,0.00002312673450508788,0.00015197568389057752,0.0012592270950933565,0.022241310955464517,0.019543034605146406,0.08577658630519738,0.0445449225018407,0.2278644112594159,0.4472049689440994,0.1513904359153467
same suit: 5 6,0.0000018878966942928884,0.002534973286261776,0.0012592270950933565,0.022241310955464517,0.06328371311521834,0.1821046272347977,0.04262917933130699,0.2176570258075478,0.3706885159244086,0.09759953935320659
same suit: 5 7,0.0000018878966942928884,0.0019067756612358173,0.0012592270950933565,0.022241310955464517,0.0639119107402443,0.14271932639845947,0.04289395684268157,0.21890445354830185,0.3895599312805603,0.11660121958126451
same suit: 5 8,0.0000018878966942928884,0.001402707243859616,0.0012592270950933565,0.022241310955464517,0.0644159791576205,0.12394560969623743,0.04315873435405614,0.22015188128905586,0.4003435971983613,0.12307906511355698
same suit: 5 9,0.0000018878966942928884,0.000998697351280938,0.0012592270950933565,0.022241310955464517,0.06481998905019917,0.11925324246257245,0.043423511865430725,0.2213993090298099,0.40438747191753666,0.12221535237591799
same suit: 5 10,0.00002312673450508788,0.0006513243595310464,0.0012592270950933565,0.022241310955464517,0.06514612320413828,0.12383941550718344,0.0436882893768053,0.2226467367705639,0.40303951367781155,0.11746493231890351
same suit: 5 J,0.00002312673450508788,0.0006711472748211218,0.0012592270950933565,0.022241310955464517,0.0651263002888482,0.12648294285336706,0.0436882893768053,0.2226467367705639,0.40169155543808643,0.11616936321244502
same suit: 5 Q,0.00002312673450508788,0.0005536257056013895,0.0012592270950933565,0.022241310955464517,0.06524382185806793,0.11191734788272385,0.0436882893768053,0.2226467367705639,0.40977930487643716,0.12264720874473749
same suit: 5 K,0.00002312673450508788,0.0003483169400970379,0.0012592270950933565,0.022241310955464517,0.06544913062357227,0.07900422888859522,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.1420807453416149
pair: 5,0.0000018878966942928884,0.0002633615888538579,0.008423795049934868,0.08547641073080481,0.019452887537993922,0.042609828390190486,0.11702127659574468,0.3945326511733278,0.33221790103645527,0
other: 5 6,0.0000018878966942928884,0.00026147369215956504,0.0012592270950933565,0.022241310955464517,0.019454775434688213,0.1945515301402707,0.04346504559270517,0.22274821121788216,0.3904170363797693,0.1055995015952727
other: 5 7,0.0000018878966942928884,0.00026147369215956504,0.0012592270950933565,0.022241310955464517,0.019454775434688213,0.15256753950423832,0.04373501481998905,0.22402726122826558,0.41029281277728485,0.12615869659612225
other: 5 8,0.0000018878966942928884,0.00026147369215956504,0.0012592270950933565,0.022241310955464517,0.019454775434688213,0.13265211727614265,0.04400498404727293,0.22530631123864903,0.42165039929015086,0.1331675130736846
other: 5 9,0.0000018878966942928884,0.0002628896146802847,0.0012592270950933565,0.022241310955464517,0.019453359512167496,0.12777851195982556,0.044274953274556814,0.22658536124903245,0.4259094942324756,0.13223300421000964
other: 5 10,0.00002312673450508788,0.000244482621910929,0.0012592270950933565,0.022241310955464517,0.019450527667126054,0.13278898978647888,0.0445449225018407,0.2278644112594159,0.42448979591836733,0.12709320545979724
other: 5 J,0.00002312673450508788,0.00022371575827370726,0.0012592270950933565,0.022241310955464517,0.019471294530763277,0.13561045139609962,0.0445449225018407,0.2278644112594159,0.4230700976042591,0.12569144216428477
